tld,url,2008,2016,2020,depth,fromedgi
usgs.gov,http://armi.usgs.gov:80/,20080121080227,20160205003421,20200330214259,high,FALSE
energy.gov,http://artificialretina.energy.gov:80/,20080101095831,20160129194708,20200809103159,high,FALSE
nasa.gov,http://asterweb.jpl.nasa.gov:80/data_products.asp,20080127225352,20160325211927,20201019141647,high,FALSE
nasa.gov,http://asterweb.jpl.nasa.gov:80/NewReq.asp,20080126115033,20160314173908,20200926022302,high,FALSE
usgs.gov,http://astrogeology.usgs.gov:80/About/Careers/,20080203041102,20160310141115,20200921103508,high,FALSE
usgs.gov,http://astrogeology.usgs.gov:80/Missions/,20080203041137,20160118123757,20200224100010,high,FALSE
usgs.gov,http://astrogeology.usgs.gov:80/Projects/LunarOrbiterDigitization/,20080127032452,20160116084409,20200225043900,high,FALSE
usgs.gov,http://astrogeology.usgs.gov:80/Search,20080115080737,20160323064616,20200203042850,high,FALSE
blm.gov,http://www.az.blm.gov:80/,20080821103040,20161115032256,20200918144527,high,FALSE
usgs.gov,http://bqs.usgs.gov:80/acidrain,20080129105356,20160215163523,20201016214311,high,FALSE
noaa.gov,http://cfs.ncep.noaa.gov/,20080209053324,20160123182451,20200405125354,high,TRUE
usgs.gov,http://coastal.er.usgs.gov:80/hurricanes/,20080115183516,20160101103413,20201016192937,high,FALSE
usgs.gov,http://coastal.er.usgs.gov:80/hurricanes/coastal-change/,20080214160855,20161208043646,20201127013203,high,FALSE
usgs.gov,http://coastal.er.usgs.gov/hurricanes/katrina/,20080123201518,20160104172311,20200424010000,high,FALSE
noaa.gov,http://coastwatch.glerl.noaa.gov:80/,20080208190648,20160102023755,20200101152712,high,TRUE
noaa.gov,http://coastwatch.glerl.noaa.gov:80/cwdoc,20080916004335,20160315164005,20200923162357,high,TRUE
noaa.gov,http://cwcaribbean.aoml.noaa.gov:80/cwatch-web/cgi-bin/index.cgi,20080703192533,20160205092753,20201022175830,high,TRUE
nasa.gov,http://data.giss.nasa.gov:80/gistemp/,20080111110031,20160101171541,20200111092927,high,TRUE
nasa.gov,http://disc.gsfc.nasa.gov:80/,20080122065332,20160125125659,20200207043946,high,FALSE
nasa.gov,http://disc.sci.gsfc.nasa.gov//,20080106150859,20160116190913,20200925061119,high,TRUE
noaa.gov,http://dods.ndbc.noaa.gov:80/,20080209093904,20160303215431,20200227175507,high,TRUE
usgs.gov,http://earlywarning.usgs.gov/,20080112214038,20160418082259,20200417215717,high,FALSE
usgs.gov,http://earthquake.usgs.gov:80/,20080103094518,20160101000109,20200102063208,high,TRUE
usgs.gov,http://earthquake.usgs.gov:80/index.php,20080101065703,20160116073652,20200803144502,high,FALSE
usgs.gov,http://earthquake.usgs.gov:80/research/software/,20080101035135,20160204085930,20200120032022,high,TRUE
nih.gov,http://ehp.niehs.nih.gov:80/,20080516015632,20160101032358,20200101043546,high,FALSE
nasa.gov,http://eosweb.larc.nasa.gov:80/,20080126123157,20160215163423,20200112101819,high,FALSE
epa.gov,http://www.epa.gov:80/greeningepa/,20080921101306,20160123133445,20200101061506,high,TRUE
epa.gov,http://www.epa.gov:80/ttn/airs/airsaqs/,20080523215402,20160513040552,20201023051432,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/airs/airsaqs/index.htm,20080516064735,20160307183611,20200606085840,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/amtic/,20081011030022,20160612184111,20201017030544,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/amtic/airtox.html,20080516063943,20160307183804,20200401193235,high,TRUE
epa.gov,http://www.epa.gov/ttn/amtic/airtoxqa.html,20081015215426,20160513063226,20201017191340,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/amtic/amticpm.html,20080516064033,20160810182421,20201023165402,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/amtic/casacinf.html,20081013172444,20160513043633,20201030060701,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/amtic/contactus.html,20081106201934,20160208031557,20201024012517,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/amtic/inorg.html,20080726015300,20160307122103,20201021220935,high,FALSE
epa.gov,http://www.epa.gov/ttn/amtic/local.html,20080726164324,20160131235937,20201017173000,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/amtic/pmfrm.html,20080724035501,20160106135219,20201031044934,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/amtic/pmimp.html,20080726015630,20160106135224,20201030000247,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/amtic/pmpolgud.html,20080724040252,20160106135311,20201027215735,high,FALSE
epa.gov,http://www.epa.gov/ttn/amtic/2006present.html,20080512063254,20160220033908,20201027215751,high,FALSE
epa.gov,http://www.epa.gov/ttn/amtic/smoke.html,20080821212841,20160104192335,20201023150631,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/amtic/supersites.html,20080726015942,20160104004243,20201022064753,high,FALSE
epa.gov,http://www.epa.gov/ttn/amtic/toxmeet.html,20080724035341,20160202033351,20201017172957,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/amtic/visdata.html,20080917114642,20160513043813,20201027215729,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/,20080103100505,20160119190913,20200330234623,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/allabout.html,20080904213541,20160304050119,20200330234634,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/coat/coat.html,20081226072048,20160914023115,20201022205544,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/combust/utiltox/utoxpg.html,20081201120829,20160204000955,20201019101813,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/contact.html,20081020160249,20160208031601,20201018143717,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/112dpg.html,20080820195119,20160811035335,20201024064534,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/educout.html,20080726164300,20160211115736,20201019060557,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/epaprogs.html,20080726015710,20160317082105,20201018111327,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/eparules.html,20080103100452,20160418134552,20200330234635,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/112g/112gpg.html,20081208134705,20161212144014,20201028134127,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/3_90_022.html,20080921083617,20160604131704,20201018133337,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/index.html,20080724040228,20160126164705,20201018095426,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/mactfnlalph.html,20080724035429,20160126164645,20200404020841,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/natamain/,20080726015252,20160117052439,20200330234638,deep,FALSE
epa.gov,http://www.epa.gov/ttn/atw/natamain/index.html,20081024061701,20160419062722,20201018001807,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/nsps/socww/socwwpg.html,20080726163956,20160401024545,20201024082655,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/orig189.html,20080726164052,20160126164702,20200616120114,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/188polls.html,20080726015806,20160114050409,20200125013538,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/pollsour.html,20081020161117,20160203075444,20201018062444,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/pollutants/atwsmod.html,20081008160402,20160415094651,20201018162145,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/publicat.html,20081020160923,20160317044737,20201018215731,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/riskinit.html,20081020160131,20160317040558,20201018152254,high,FALSE
epa.gov,http://www.epa.gov/ttn/atw/rrisk/rtrpg.html,20080726163708,20160418134623,20201018055631,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/stprogs.html,20080904214059,20160317021733,20201018055506,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/techres.html,20080724041356,20160317020123,20201019060531,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/atw/utility/utiltoxpg.html,20081012105924,20160514200650,20201023153516,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/catc/cica,20081026064517,20160109220022,20200812212408,high,FALSE
epa.gov,http://www.epa.gov/ttn/catc/cica/atech_e.html,20081029012519,20160104003922,20201019220239,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/catc/cica/contacte.html,20081029211514,20160201025918,20201020013655,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/catc/cica/index.html,20081029012759,20160109220028,20201019082610,deep,FALSE
epa.gov,http://www.epa.gov/ttn/catc/index.html,20081029033745,20160109014430,20201018041452,high,FALSE
epa.gov,http://www.epa.gov/ttn/catc/rblc/htm/rblcprod_eg.html,20080724041532,20161231165509,20201018050132,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief,20080724041131,20160126164704,20200408020514,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/ap42/ch13,20081108062354,20160513040925,20201017143544,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/ap42/ch13/index.html,20080821212940,20160316010015,20200828012823,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/ap42/index.html,20080102181226,20160127110950,20200726202747,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/comments.html,20080726021703,20160813090431,20200811135555,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/conferences.html,20081024054810,20160813090434,20200811125456,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/database/search.html,20080726021151,20160110085802,20201019225356,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/eiinformation.html,20080726170604,20160314213214,20200408020733,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/index.html,20081024054325,20160126040211,20200804174306,high,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/le/index.html,20080726020806,20160516171312,20201129174910,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/net/index.html,20080726170308,20160813090433,20201019210654,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/software/tanks/index.html,20080102181122,20160127110953,20201020163556,deep,FALSE
epa.gov,http://www.epa.gov:80/ttn/chief/trends/index.html,20080724041147,20160417064435,20201020051510,deep,FALSE
